solver,benchmark_file,noise,status,flips,elapsed_time
walksat,random_3sat_100v_426c_15.cnf,0.5,UNKNOWN,10000,2.3974074789948645
walksat,random_3sat_100v_426c_16.cnf,0.5,SAT,853,0.180807046002883
walksat,random_3sat_100v_426c_17.cnf,0.5,SAT,678,0.1433266769963666
walksat,random_3sat_100v_426c_18.cnf,0.5,SAT,2911,0.6318536629987648
walksat,random_3sat_100v_426c_19.cnf,0.5,SAT,847,0.18825783299689647
walksat,random_3sat_100v_426c_20.cnf,0.5,UNKNOWN,10000,2.320767305995105
walksat,random_3sat_100v_426c_01.cnf,0.7,UNKNOWN,10000,1.6782840740052052
walksat,random_3sat_100v_426c_02.cnf,0.7,SAT,1004,0.1648939579972648
walksat,random_3sat_100v_426c_03.cnf,0.7,SAT,6467,1.1586482999991858
walksat,random_3sat_100v_426c_04.cnf,0.7,UNKNOWN,10000,1.711196161006228
walksat,random_3sat_100v_426c_05.cnf,0.7,SAT,142,0.05397537899989402
walksat,random_3sat_100v_426c_06.cnf,0.7,SAT,328,0.07793396099441452
walksat,random_3sat_100v_426c_07.cnf,0.7,SAT,661,0.18420753700047499
walksat,random_3sat_100v_426c_08.cnf,0.7,SAT,778,0.15987053800199647
walksat,random_3sat_100v_426c_09.cnf,0.7,UNKNOWN,10000,1.838473771000281
walksat,random_3sat_100v_426c_10.cnf,0.7,UNKNOWN,10000,1.9213327719990048
walksat,random_3sat_100v_426c_11.cnf,0.7,UNKNOWN,10000,1.8545779360065353
walksat,random_3sat_100v_426c_12.cnf,0.7,UNKNOWN,10000,1.697947982000187
walksat,random_3sat_100v_426c_13.cnf,0.7,UNKNOWN,10000,1.7100735569983954
walksat,random_3sat_100v_426c_14.cnf,0.7,SAT,4549,0.8592703760004952
walksat,random_3sat_100v_426c_15.cnf,0.7,UNKNOWN,10000,1.8540444780010148
walksat,random_3sat_100v_426c_16.cnf,0.7,SAT,604,0.09883851499762386
walksat,random_3sat_100v_426c_17.cnf,0.7,SAT,1275,0.21386101900134236
walksat,random_3sat_100v_426c_18.cnf,0.7,SAT,2371,0.5114665369983413
walksat,random_3sat_100v_426c_19.cnf,0.7,SAT,265,0.07383782100077951
walksat,random_3sat_100v_426c_20.cnf,0.7,UNKNOWN,10000,2.1358409429958556
