solver,benchmark_file,problem_type,num_vars,num_clauses,status,cpu_time,elapsed_time,wall_time,peak_memory,decisions,unit_propagations,pure_eliminations,conflicts,learned_clauses,flips,restarts,verified
probsat,benchmarks/random_sat/random_3sat_100v_426c_18.cnf,random_3sat,100,426,SAT,8.837602813999865,8.840973087004386,8.840973087004386,68967,,,,,,8649,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_19.cnf,random_3sat,100,426,SAT,29.12898342099993,29.151758100000734,29.151758100000734,269271,10185,101143,1182,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_19.cnf,random_3sat,100,426,SAT,2.1866511780001474,2.187135979998857,2.187135979998857,232199,679,7080,118,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_19.cnf,random_3sat,100,426,TIMEOUT,59.971568471999944,60.00177654999425,60.00177654999425,201023,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_19.cnf,random_3sat,100,426,SAT,3.2634997440000006,3.2640972750014043,3.2640972750014043,68547,,,,,,5268,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_19.cnf,random_3sat,100,426,SAT,1.3752569040000253,1.3753673399987747,1.3753673399987747,68547,,,,,,1376,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_20.cnf,random_3sat,100,426,TIMEOUT,59.970044014999985,60.001198140998895,60.001198140998895,263843,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_20.cnf,random_3sat,100,426,UNSAT,9.081892804000063,9.087122283999634,9.087122283999634,229731,2892,32369,457,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_20.cnf,random_3sat,100,426,TIMEOUT,59.977344080999956,60.00187405599718,60.00187405599718,217851,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_20.cnf,random_3sat,100,426,UNKNOWN,6.291421319000165,6.296977459001937,6.296977459001937,68853,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_20.cnf,random_3sat,100,426,UNKNOWN,10.032448036999995,10.036192861000018,10.036192861000018,68853,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_01.cnf,random_3sat,150,639,TIMEOUT,59.962506516000076,60.003068464000535,60.003068464000535,423515,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_01.cnf,random_3sat,150,639,TIMEOUT,59.98195152900007,60.0017084430001,60.0017084430001,400795,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_01.cnf,random_3sat,150,639,TIMEOUT,59.95319915000027,60.002387587002886,60.002387587002886,295455,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_01.cnf,random_3sat,150,639,UNKNOWN,9.627317096999832,9.635429255999043,9.635429255999043,98957,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_150v_639c_01.cnf,random_3sat,150,639,UNKNOWN,15.410516273999747,15.427505949999613,15.427505949999613,98957,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_02.cnf,random_3sat,150,639,TIMEOUT,59.96546805300022,60.00173817600444,60.00173817600444,435443,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_02.cnf,random_3sat,150,639,TIMEOUT,59.9653070039999,60.001775340002496,60.001775340002496,437475,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_02.cnf,random_3sat,150,639,TIMEOUT,59.96840956999995,60.00488372799737,60.00488372799737,648359,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_02.cnf,random_3sat,150,639,UNKNOWN,9.018070284999794,9.02025629900163,9.02025629900163,97615,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_150v_639c_02.cnf,random_3sat,150,639,UNKNOWN,14.760191088999818,14.769501251001202,14.769501251001202,97615,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_03.cnf,random_3sat,150,639,TIMEOUT,59.96915835200025,60.00177253899892,60.00177253899892,381979,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_03.cnf,random_3sat,150,639,TIMEOUT,59.943811490999906,60.00361269299901,60.00361269299901,408899,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_03.cnf,random_3sat,150,639,TIMEOUT,59.963066678999894,60.00299469500169,60.00299469500169,323351,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_03.cnf,random_3sat,150,639,UNKNOWN,9.717612948999886,9.728173162999155,9.728173162999155,98565,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_150v_639c_03.cnf,random_3sat,150,639,UNKNOWN,15.508258839000064,15.514617308996094,15.514617308996094,98565,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_04.cnf,random_3sat,150,639,TIMEOUT,59.96944141799986,60.0019699839977,60.0019699839977,379203,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_04.cnf,random_3sat,150,639,TIMEOUT,59.966701247999936,60.00191311600065,60.00191311600065,413027,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_04.cnf,random_3sat,150,639,TIMEOUT,59.96022137099999,60.00273602800007,60.00273602800007,421271,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_04.cnf,random_3sat,150,639,SAT,0.7717663299999913,0.7720147090003593,0.7720147090003593,98573,,,,,,821,0,True
probsat,benchmarks/random_sat/random_3sat_150v_639c_04.cnf,random_3sat,150,639,UNKNOWN,15.87336631900007,15.879806436001672,15.879806436001672,98573,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_05.cnf,random_3sat,150,639,TIMEOUT,59.94667100700008,60.002599840001494,60.002599840001494,413875,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_05.cnf,random_3sat,150,639,TIMEOUT,59.947102234999875,60.00164704200142,60.00164704200142,395979,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_05.cnf,random_3sat,150,639,TIMEOUT,59.97680119500001,60.0026247440037,60.0026247440037,287111,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_05.cnf,random_3sat,150,639,SAT,3.6886015189998034,3.689917105002678,3.689917105002678,96889,,,,,,3956,0,True
probsat,benchmarks/random_sat/random_3sat_150v_639c_05.cnf,random_3sat,150,639,SAT,0.8634065819996977,0.863624116005667,0.863624116005667,96889,,,,,,573,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_06.cnf,random_3sat,150,639,TIMEOUT,59.97451716000023,60.0020188999988,60.0020188999988,447587,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_06.cnf,random_3sat,150,639,TIMEOUT,59.97809130600035,60.0021009330012,60.0021009330012,386099,,,,,,,,
cdcl,benchmarks/random_sat/random_3sat_150v_639c_06.cnf,random_3sat,150,639,TIMEOUT,59.96452584000008,60.003741833003005,60.003741833003005,463279,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_150v_639c_06.cnf,random_3sat,150,639,SAT,4.87212479999971,4.873381845005497,4.873381845005497,97841,,,,,,5323,0,True
probsat,benchmarks/random_sat/random_3sat_150v_639c_06.cnf,random_3sat,150,639,SAT,8.629790584000148,8.634448075994442,8.634448075994442,97841,,,,,,5639,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_150v_639c_07.cnf,random_3sat,150,639,TIMEOUT,59.96700544799978,60.00183310099965,60.00183310099965,448683,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_150v_639c_07.cnf,random_3sat,150,639,SAT,17.913951676000124,17.92365991200495,17.92365991200495,396163,2816,41683,459,,,,,True
cdcl,benchmarks/random_sat/random_3sat_150v_639c_07.cnf,random_3sat,150,639,TIMEOUT,59.97475015300006,60.002750398998614,60.002750398998614,308383,,,,,,,,
